"","AAPL","IBM","GOOGL","MSFT"
"2018-11-16",193.529999,121.57,1068.27002,108.290001
"2018-11-19",185.860001,120.309998,1027.420044,104.620003
"2018-11-20",176.979996,117.199997,1030.449951,101.709999
"2018-11-21",176.779999,118.57,1043.430054,103.110001
"2018-11-23",172.289993,117.190002,1030.099976,103.07
"2018-11-26",174.619995,119.559998,1055.939941,106.470001
"2018-11-27",174.240005,120.029999,1052.280029,107.139999
"2018-11-28",180.940002,123,1091.790039,111.120003
"2018-11-29",179.550003,121.480003,1094.579956,110.190002
"2018-11-30",178.580002,124.269997,1109.650024,110.889999
"2018-12-03",184.820007,125.309998,1116.359985,112.089996
"2018-12-04",176.690002,121.599998,1062.469971,108.519997
"2018-12-06",174.720001,123.910004,1078.079956,109.190002
"2018-12-07",168.490005,119.339996,1046.579956,104.82
"2018-12-10",169.600006,121.129997,1053.180054,107.589996
"2018-12-11",168.630005,120.889999,1061.650024,108.589996
"2018-12-12",169.100006,121.160004,1073.72998,109.080002
"2018-12-13",170.949997,120.730003,1073.540039,109.449997
"2018-12-14",165.479996,119.900002,1051.709961,106.029999
"2018-12-17",163.940002,116.099998,1025.650024,102.889999
"2018-12-18",166.070007,116.650002,1043.410034,103.970001
"2018-12-19",160.889999,116.43,1035.459961,103.690002
"2018-12-20",156.830002,113.019997,1023.580017,101.510002
"2018-12-21",150.729996,110.940002,991.25,98.230003
"2018-12-24",146.830002,107.57,984.669983,94.129997
"2018-12-26",157.169998,111.389999,1047.849976,100.559998
"2018-12-27",156.149994,113.779999,1052.900024,101.18
"2018-12-28",156.229996,113.029999,1046.680054,100.389999
"2018-12-31",157.740005,113.669998,1044.959961,101.57
"2019-01-02",157.919998,115.209999,1054.680054,101.120003
"2019-01-03",142.190002,112.910004,1025.469971,97.400002
"2019-01-04",148.259995,117.32,1078.069946,101.93
"2019-01-07",147.929993,118.150002,1075.920044,102.059998
"2019-01-08",150.75,119.830002,1085.369995,102.800003
"2019-01-09",153.309998,120.690002,1081.650024,104.269997
"2019-01-10",153.800003,121.790001,1078.829956,103.599998
"2019-01-11",152.289993,121.459999,1064.469971,102.800003
"2019-01-14",150,120.389999,1051.51001,102.050003
"2019-01-15",153.070007,121.730003,1086.51001,105.010002
"2019-01-16",154.940002,121.620003,1089.51001,105.379997
"2019-01-17",155.860001,122.190002,1099.119995,106.120003
"2019-01-18",156.820007,123.82,1107.300049,107.709999
"2019-01-22",153.300003,122.519997,1078.630005,105.68
"2019-01-23",153.919998,132.889999,1084.410034,106.709999
"2019-01-24",152.699997,132.529999,1084,106.199997
"2019-01-25",157.759995,133.970001,1101.51001,107.169998
"2019-01-28",156.300003,134.270004,1079.859985,105.080002
"2019-01-29",154.679993,134.330002,1070.060059,102.940002
"2019-01-30",165.25,134.380005,1097.98999,106.379997
"2019-01-31",166.440002,134.419998,1125.890015,104.43
"2019-02-01",166.520004,134.100006,1118.619995,102.779999
"2019-02-04",171.25,135.190002,1141.420044,105.739998
"2019-02-05",174.179993,135.550003,1151.869995,107.220001
"2019-02-06",174.240005,136.320007,1122.890015,106.029999
"2019-02-07",170.940002,133.190002,1105.910034,105.269997
"2019-02-08",170.410004,133.710007,1102.380005,105.669998
"2019-02-11",169.429993,133.990005,1102.119995,105.25
"2019-02-12",170.889999,136.050003,1127.579956,106.889999
"2019-02-13",170.179993,137.520004,1128.630005,106.809998
"2019-02-14",170.800003,136.479996,1129.199951,106.900002
"2019-02-15",170.419998,138.029999,1119.630005,108.220001
"2019-02-19",170.929993,138.699997,1126.51001,108.169998
"2019-02-20",172.029999,138,1120.589966,107.150002
"2019-02-21",171.059998,137.839996,1104.209961,109.410004
"2019-02-22",172.970001,139.25,1116.560059,110.970001
"2019-02-25",174.229996,139.460007,1117.329956,111.589996
"2019-02-26",174.330002,139.720001,1122.01001,112.360001
"2019-02-27",174.869995,139.169998,1122.890015,112.169998
"2019-02-28",173.149994,138.130005,1126.550049,112.029999
"2019-03-01",174.970001,139.199997,1148.52002,112.529999
"2019-03-04",175.850006,138.429993,1153.420044,112.260002
"2019-03-05",175.529999,137.880005,1169.189941,111.699997
"2019-03-06",174.520004,136.979996,1164.939941,111.75
"2019-03-07",172.5,135.360001,1150.849976,110.389999
"2019-03-08",172.910004,135.089996,1149.969971,110.510002
"2019-03-11",178.899994,137.710007,1179.26001,112.830002
"2019-03-12",180.910004,138.279999,1197.25,113.620003
"2019-03-13",181.710007,138.559998,1199.060059,114.5
"2019-03-14",183.729996,138.789993,1192.530029,114.589996
"2019-03-15",186.119995,139.429993,1190.300049,115.910004
"2019-03-18",188.020004,140.210007,1188.550049,117.57
"2019-03-19",186.529999,140.490005,1202.459961,117.650002
"2019-03-20",188.160004,139.600006,1226.430054,117.519997
"2019-03-21",195.089996,141.440002,1236.130005,120.220001
"2019-03-22",191.050003,139.449997,1207.650024,117.050003
"2019-03-25",188.740005,139.179993,1197.380005,117.660004
"2019-03-26",186.789993,140.220001,1189.839966,117.910004
"2019-03-27",188.470001,139.240005,1178.01001,116.769997
"2019-03-28",188.720001,139.919998,1172.27002,116.93
"2019-03-29",189.949997,141.100006,1176.890015,117.940002
"2019-04-01",191.240005,143.300003,1198.97998,119.019997
"2019-04-02",194.020004,143,1205.540039,119.190002
"2019-04-03",195.350006,143.630005,1210.810059,119.970001
"2019-04-04",195.690002,142.779999,1219.449951,119.360001
"2019-04-05",197,143.279999,1211.449951,119.889999
"2019-04-08",200.100006,143.389999,1208.280029,119.93
"2019-04-09",199.5,142.110001,1202.689941,119.279999
"2019-04-10",200.619995,143.020004,1206.449951,120.190002
"2019-04-11",198.949997,143.779999,1209.589966,120.330002
"2019-04-12",198.869995,144.350006,1222.72998,120.949997
"2019-04-15",199.229996,143.899994,1226.530029,121.050003
"2019-04-16",199.25,145.139999,1231.910034,120.769997
"2019-04-17",203.130005,139.110001,1240.140015,121.769997
"2019-04-18",203.860001,140.330002,1241.469971,123.370003
"2019-04-22",204.529999,138.889999,1253.76001,123.760002
"2019-04-23",207.479996,140.440002,1270.589966,125.440002
"2019-04-24",207.160004,139.949997,1260.050049,125.010002
"2019-04-25",205.279999,138.630005,1267.339966,129.149994
"2019-04-26",204.300003,139.440002,1277.420044,129.889999
"2019-04-29",204.610001,139.050003,1296.199951,129.770004
"2019-04-30",200.669998,140.270004,1198.959961,130.600006
"2019-05-01",210.520004,140.559998,1173.319946,127.879997
"2019-05-02",209.149994,139.589996,1166.51001,126.209999
"2019-05-03",211.75,140.25,1189.550049,128.899994
"2019-05-06",208.479996,140.380005,1193.459961,128.149994
"2019-05-07",202.860001,137.639999,1178.859985,125.519997
